"Assay"	"Sample Characteristic[organism]"	"Sample Characteristic Ontology Term[organism]"	"Sample Characteristic[individual]"	"Sample Characteristic Ontology Term[individual]"	"Sample Characteristic[organism part]"	"Sample Characteristic Ontology Term[organism part]"	"Sample Characteristic[sampling site]"	"Sample Characteristic Ontology Term[sampling site]"	"Sample Characteristic[disease]"	"Sample Characteristic Ontology Term[disease]"	"Sample Characteristic[histology]"	"Sample Characteristic Ontology Term[histology]"	"Factor Value[single cell identifier]"	"Factor Value Ontology Term[single cell identifier]"	"Factor Value[histology]"	"Factor Value Ontology Term[histology]"	"Factor Value[sampling site]"	"Factor Value Ontology Term[sampling site]"
"SRR5023413"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC02"		"breast"	"http://purl.obolibrary.org/obo/UBERON_0000310"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"estrogen-receptor positive breast cancer"	"http://www.ebi.ac.uk/efo/EFO_1000649"	"BC02_58"		"estrogen-receptor positive breast cancer"	"http://www.ebi.ac.uk/efo/EFO_1000649"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"
"SRR5023414"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC02"		"breast"	"http://purl.obolibrary.org/obo/UBERON_0000310"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"estrogen-receptor positive breast cancer"	"http://www.ebi.ac.uk/efo/EFO_1000649"	"BC02_59"		"estrogen-receptor positive breast cancer"	"http://www.ebi.ac.uk/efo/EFO_1000649"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"
"SRR5023415"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC02"		"breast"	"http://purl.obolibrary.org/obo/UBERON_0000310"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"estrogen-receptor positive breast cancer"	"http://www.ebi.ac.uk/efo/EFO_1000649"	"BC02_60"		"estrogen-receptor positive breast cancer"	"http://www.ebi.ac.uk/efo/EFO_1000649"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"
"SRR5023416"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC02"		"breast"	"http://purl.obolibrary.org/obo/UBERON_0000310"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"estrogen-receptor positive breast cancer"	"http://www.ebi.ac.uk/efo/EFO_1000649"	"BC02_61"		"estrogen-receptor positive breast cancer"	"http://www.ebi.ac.uk/efo/EFO_1000649"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"
"SRR5023417"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC02"		"breast"	"http://purl.obolibrary.org/obo/UBERON_0000310"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"estrogen-receptor positive breast cancer"	"http://www.ebi.ac.uk/efo/EFO_1000649"	"BC02_62"		"estrogen-receptor positive breast cancer"	"http://www.ebi.ac.uk/efo/EFO_1000649"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"
"SRR5023418"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC02"		"breast"	"http://purl.obolibrary.org/obo/UBERON_0000310"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"estrogen-receptor positive breast cancer"	"http://www.ebi.ac.uk/efo/EFO_1000649"	"BC02_63"		"estrogen-receptor positive breast cancer"	"http://www.ebi.ac.uk/efo/EFO_1000649"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"
"SRR5023419"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC02"		"breast"	"http://purl.obolibrary.org/obo/UBERON_0000310"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"estrogen-receptor positive breast cancer"	"http://www.ebi.ac.uk/efo/EFO_1000649"	"BC02_64"		"estrogen-receptor positive breast cancer"	"http://www.ebi.ac.uk/efo/EFO_1000649"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"
"SRR5023420"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC02"		"breast"	"http://purl.obolibrary.org/obo/UBERON_0000310"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"estrogen-receptor positive breast cancer"	"http://www.ebi.ac.uk/efo/EFO_1000649"	"BC02_66"		"estrogen-receptor positive breast cancer"	"http://www.ebi.ac.uk/efo/EFO_1000649"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"
"SRR5023421"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC02"		"breast"	"http://purl.obolibrary.org/obo/UBERON_0000310"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"estrogen-receptor positive breast cancer"	"http://www.ebi.ac.uk/efo/EFO_1000649"	"BC02_67"		"estrogen-receptor positive breast cancer"	"http://www.ebi.ac.uk/efo/EFO_1000649"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"
"SRR5023422"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC02"		"breast"	"http://purl.obolibrary.org/obo/UBERON_0000310"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"estrogen-receptor positive breast cancer"	"http://www.ebi.ac.uk/efo/EFO_1000649"	"BC02_68"		"estrogen-receptor positive breast cancer"	"http://www.ebi.ac.uk/efo/EFO_1000649"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"
"SRR5023423"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC02"		"breast"	"http://purl.obolibrary.org/obo/UBERON_0000310"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"estrogen-receptor positive breast cancer"	"http://www.ebi.ac.uk/efo/EFO_1000649"	"BC02_70"		"estrogen-receptor positive breast cancer"	"http://www.ebi.ac.uk/efo/EFO_1000649"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"
"SRR5023424"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC02"		"breast"	"http://purl.obolibrary.org/obo/UBERON_0000310"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"estrogen-receptor positive breast cancer"	"http://www.ebi.ac.uk/efo/EFO_1000649"	"BC02_71"		"estrogen-receptor positive breast cancer"	"http://www.ebi.ac.uk/efo/EFO_1000649"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"
"SRR5023425"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC02"		"breast"	"http://purl.obolibrary.org/obo/UBERON_0000310"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"estrogen-receptor positive breast cancer"	"http://www.ebi.ac.uk/efo/EFO_1000649"	"BC02_73"		"estrogen-receptor positive breast cancer"	"http://www.ebi.ac.uk/efo/EFO_1000649"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"
"SRR5023426"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC02"		"breast"	"http://purl.obolibrary.org/obo/UBERON_0000310"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"estrogen-receptor positive breast cancer"	"http://www.ebi.ac.uk/efo/EFO_1000649"	"BC02_74"		"estrogen-receptor positive breast cancer"	"http://www.ebi.ac.uk/efo/EFO_1000649"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"
"SRR5023427"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC02"		"breast"	"http://purl.obolibrary.org/obo/UBERON_0000310"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"estrogen-receptor positive breast cancer"	"http://www.ebi.ac.uk/efo/EFO_1000649"	"BC02_75"		"estrogen-receptor positive breast cancer"	"http://www.ebi.ac.uk/efo/EFO_1000649"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"
"SRR5023428"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC02"		"breast"	"http://purl.obolibrary.org/obo/UBERON_0000310"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"estrogen-receptor positive breast cancer"	"http://www.ebi.ac.uk/efo/EFO_1000649"	"BC02_76"		"estrogen-receptor positive breast cancer"	"http://www.ebi.ac.uk/efo/EFO_1000649"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"
"SRR5023429"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC02"		"breast"	"http://purl.obolibrary.org/obo/UBERON_0000310"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"estrogen-receptor positive breast cancer"	"http://www.ebi.ac.uk/efo/EFO_1000649"	"BC02_79"		"estrogen-receptor positive breast cancer"	"http://www.ebi.ac.uk/efo/EFO_1000649"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"
"SRR5023430"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC02"		"breast"	"http://purl.obolibrary.org/obo/UBERON_0000310"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"estrogen-receptor positive breast cancer"	"http://www.ebi.ac.uk/efo/EFO_1000649"	"BC02_80"		"estrogen-receptor positive breast cancer"	"http://www.ebi.ac.uk/efo/EFO_1000649"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"
"SRR5023431"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC02"		"breast"	"http://purl.obolibrary.org/obo/UBERON_0000310"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"estrogen-receptor positive breast cancer"	"http://www.ebi.ac.uk/efo/EFO_1000649"	"BC02_81"		"estrogen-receptor positive breast cancer"	"http://www.ebi.ac.uk/efo/EFO_1000649"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"
"SRR5023432"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC02"		"breast"	"http://purl.obolibrary.org/obo/UBERON_0000310"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"estrogen-receptor positive breast cancer"	"http://www.ebi.ac.uk/efo/EFO_1000649"	"BC02_82"		"estrogen-receptor positive breast cancer"	"http://www.ebi.ac.uk/efo/EFO_1000649"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"
"SRR5023433"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC02"		"breast"	"http://purl.obolibrary.org/obo/UBERON_0000310"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"estrogen-receptor positive breast cancer"	"http://www.ebi.ac.uk/efo/EFO_1000649"	"BC02_83"		"estrogen-receptor positive breast cancer"	"http://www.ebi.ac.uk/efo/EFO_1000649"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"
"SRR5023434"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC02"		"breast"	"http://purl.obolibrary.org/obo/UBERON_0000310"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"estrogen-receptor positive breast cancer"	"http://www.ebi.ac.uk/efo/EFO_1000649"	"BC02_86"		"estrogen-receptor positive breast cancer"	"http://www.ebi.ac.uk/efo/EFO_1000649"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"
"SRR5023435"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC02"		"breast"	"http://purl.obolibrary.org/obo/UBERON_0000310"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"estrogen-receptor positive breast cancer"	"http://www.ebi.ac.uk/efo/EFO_1000649"	"BC02_88"		"estrogen-receptor positive breast cancer"	"http://www.ebi.ac.uk/efo/EFO_1000649"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"
"SRR5023436"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC02"		"breast"	"http://purl.obolibrary.org/obo/UBERON_0000310"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"estrogen-receptor positive breast cancer"	"http://www.ebi.ac.uk/efo/EFO_1000649"	"BC02_89"		"estrogen-receptor positive breast cancer"	"http://www.ebi.ac.uk/efo/EFO_1000649"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"
"SRR5023437"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC02"		"breast"	"http://purl.obolibrary.org/obo/UBERON_0000310"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"estrogen-receptor positive breast cancer"	"http://www.ebi.ac.uk/efo/EFO_1000649"	"BC02_90"		"estrogen-receptor positive breast cancer"	"http://www.ebi.ac.uk/efo/EFO_1000649"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"
"SRR5023438"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC02"		"breast"	"http://purl.obolibrary.org/obo/UBERON_0000310"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"estrogen-receptor positive breast cancer"	"http://www.ebi.ac.uk/efo/EFO_1000649"	"BC02_93"		"estrogen-receptor positive breast cancer"	"http://www.ebi.ac.uk/efo/EFO_1000649"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"
"SRR5023439"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC02"		"breast"	"http://purl.obolibrary.org/obo/UBERON_0000310"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"estrogen-receptor positive breast cancer"	"http://www.ebi.ac.uk/efo/EFO_1000649"	"BC02_94"		"estrogen-receptor positive breast cancer"	"http://www.ebi.ac.uk/efo/EFO_1000649"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"
"SRR5023440"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC02"		"breast"	"http://purl.obolibrary.org/obo/UBERON_0000310"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"estrogen-receptor positive breast cancer"	"http://www.ebi.ac.uk/efo/EFO_1000649"	"BC02_95"		"estrogen-receptor positive breast cancer"	"http://www.ebi.ac.uk/efo/EFO_1000649"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"
"SRR5023441"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC02"		"breast"	"http://purl.obolibrary.org/obo/UBERON_0000310"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"estrogen-receptor positive breast cancer"	"http://www.ebi.ac.uk/efo/EFO_1000649"	"BC02_96"		"estrogen-receptor positive breast cancer"	"http://www.ebi.ac.uk/efo/EFO_1000649"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"
"SRR5023442"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC03"		"breast"	"http://purl.obolibrary.org/obo/UBERON_0000310"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"estrogen-receptor positive and HER2 positive breast cancer"		"BC03_25"		"estrogen-receptor positive and HER2 positive breast cancer"		"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"
"SRR5023443"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC03"		"breast"	"http://purl.obolibrary.org/obo/UBERON_0000310"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"estrogen-receptor positive and HER2 positive breast cancer"		"BC03_53"		"estrogen-receptor positive and HER2 positive breast cancer"		"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"
"SRR5023444"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC03"		"breast"	"http://purl.obolibrary.org/obo/UBERON_0000310"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"estrogen-receptor positive and HER2 positive breast cancer"		"BC03_66"		"estrogen-receptor positive and HER2 positive breast cancer"		"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"
"SRR5023445"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC03"		"breast"	"http://purl.obolibrary.org/obo/UBERON_0000310"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"estrogen-receptor positive and HER2 positive breast cancer"		"BC03_85"		"estrogen-receptor positive and HER2 positive breast cancer"		"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"
"SRR5023446"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC03LN"		"lymph node"	"http://purl.obolibrary.org/obo/UBERON_0000029"	"metastasis to lymph node"	"http://www.ebi.ac.uk/efo/EFO_0004906"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"estrogen-receptor positive and HER2 positive breast cancer"		"BC03LN_58"		"estrogen-receptor positive and HER2 positive breast cancer"		"metastasis to lymph node"	"http://www.ebi.ac.uk/efo/EFO_0004906"
"SRR5023447"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC03LN"		"lymph node"	"http://purl.obolibrary.org/obo/UBERON_0000029"	"metastasis to lymph node"	"http://www.ebi.ac.uk/efo/EFO_0004906"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"estrogen-receptor positive and HER2 positive breast cancer"		"BC03LN_74"		"estrogen-receptor positive and HER2 positive breast cancer"		"metastasis to lymph node"	"http://www.ebi.ac.uk/efo/EFO_0004906"
"SRR5023448"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC04"		"breast"	"http://purl.obolibrary.org/obo/UBERON_0000310"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"HER2 positive breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_1000294"	"BC04_06"		"HER2 positive breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_1000294"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"
"SRR5023449"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC04"		"breast"	"http://purl.obolibrary.org/obo/UBERON_0000310"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"HER2 positive breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_1000294"	"BC04_14"		"HER2 positive breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_1000294"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"
"SRR5023450"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC04"		"breast"	"http://purl.obolibrary.org/obo/UBERON_0000310"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"HER2 positive breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_1000294"	"BC04_16"		"HER2 positive breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_1000294"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"
"SRR5023451"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC04"		"breast"	"http://purl.obolibrary.org/obo/UBERON_0000310"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"HER2 positive breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_1000294"	"BC04_22"		"HER2 positive breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_1000294"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"
"SRR5023452"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC04"		"breast"	"http://purl.obolibrary.org/obo/UBERON_0000310"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"HER2 positive breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_1000294"	"BC04_30"		"HER2 positive breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_1000294"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"
"SRR5023453"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC04"		"breast"	"http://purl.obolibrary.org/obo/UBERON_0000310"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"HER2 positive breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_1000294"	"BC04_35"		"HER2 positive breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_1000294"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"
"SRR5023454"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC04"		"breast"	"http://purl.obolibrary.org/obo/UBERON_0000310"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"HER2 positive breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_1000294"	"BC04_62"		"HER2 positive breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_1000294"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"
"SRR5023455"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC04"		"breast"	"http://purl.obolibrary.org/obo/UBERON_0000310"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"HER2 positive breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_1000294"	"BC04_72"		"HER2 positive breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_1000294"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"
"SRR5023456"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC05"		"breast"	"http://purl.obolibrary.org/obo/UBERON_0000310"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"HER2 positive breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_1000294"	"BC05_01"		"HER2 positive breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_1000294"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"
"SRR5023457"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC05"		"breast"	"http://purl.obolibrary.org/obo/UBERON_0000310"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"HER2 positive breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_1000294"	"BC05_02"		"HER2 positive breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_1000294"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"
"SRR5023458"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC05"		"breast"	"http://purl.obolibrary.org/obo/UBERON_0000310"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"HER2 positive breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_1000294"	"BC05_04"		"HER2 positive breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_1000294"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"
"SRR5023459"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"BC05"		"breast"	"http://purl.obolibrary.org/obo/UBERON_0000310"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"	"breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0000305"	"HER2 positive breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_1000294"	"BC05_07"		"HER2 positive breast carcinoma"	"http://www.ebi.ac.uk/efo/EFO_1000294"	"primary tumor"	"http://www.ebi.ac.uk/efo/EFO_0000616"
